Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Kilindoni,TZ,76.26,-7.9139,39.6668,Bustani B&B
7,Likasi,CD,75.99,-10.9814,26.7333,TABERNACLE DE LIKASI
13,Porto Murtinho,BR,79.99,-21.6989,-57.8825,Hotel Pantanal
15,Victoria,HK,75.33,22.2855,114.1577,Mini Central
21,Kanniyakumari,IN,78.82,8.0833,77.5667,Sparsa Kanyakumari
23,Bilma,NE,79.38,18.6853,12.9164,Expeditions Ténére voyages
28,Kulhudhuffushi,MV,81.55,6.6221,73.07,Haajy Guest House 1
36,Ponta Do Sol,PT,76.01,32.6667,-17.1,Hotel do Campo
39,Bull Savanna,JM,83.5,17.8868,-77.5902,Big Red's
46,Omboue,GA,77.13,-1.5746,9.2618,Hotel Olako
55,Laguna,US,89.08,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
57,Luanda,AO,77.0,-8.8368,13.2343,EPIC SANA Luanda
59,Sena Madureira,BR,83.08,-9.0656,-68.6569,Hotel Central
60,Mar Del Plata,AR,79.83,-38.0023,-57.5575,Gran Hotel Mar del Plata
61,Jacareacanga,BR,89.26,-6.2222,-57.7528,Casa do Ian😎
64,Vila Velha,BR,80.55,-20.3297,-40.2925,Hotel Vitória Palace
70,Takoradi,GH,77.77,4.8845,-1.7554,Raybow International Hotel
72,Kavaratti,IN,80.89,10.5669,72.642,Green leaf
74,Matara,LK,77.14,5.9485,80.5353,Amaloh Boutique Resort
78,Black River,JM,85.1,18.0264,-77.8487,Idlers' Rest Beach Hotel
79,Mayumba,GA,77.22,-3.432,10.6554,LIKWALE LODGE
80,Sao Joaquim Do Monte,BR,75.97,-8.4325,-35.8044,Pousada Aba da Serra
83,Yanam,IN,79.38,16.7333,82.2167,The Regency Hotel
88,Jatai,BR,90.0,-17.8814,-51.7144,Hotel Califórnia
89,Touros,BR,81.25,-5.1989,-35.4608,INN NEW HORIZON
90,Harper,LR,76.51,4.375,-7.7169,Screensaver
93,Georgetown,MY,82.89,5.4112,100.3354,Cititel Penang
96,Sinnamary,GF,84.2,5.3833,-52.95,ALETHEIA Appartement Sinnamary
100,Hithadhoo,MV,81.37,-0.6,73.0833,Scoop Guest House
101,Rodrigues Alves,BR,80.8,-7.738,-72.6509,Pousada Aconchego
102,Salalah,OM,76.86,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
105,Marsh Harbour,BS,75.61,26.5412,-77.0636,Abaco Beach Resort
107,Eyl,SO,78.62,7.9803,49.8164,EYL AQUE SYSTEM
109,Panaba,MX,75.99,21.2833,-88.2667,Hotel Don Fernando
114,Diffa,NE,87.04,13.3154,12.6113,ProDAF/Diffa
121,Ondjiva,AO,83.73,-17.0667,15.7333,COMBUESA
122,Itarema,BR,82.9,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,Mahajanga,MG,75.22,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
124,San Luis,AR,77.11,-33.295,-66.3356,Huarpes Hotel
125,Trairi,BR,82.76,-3.2778,-39.2689,janelas do mar
128,Maragogi,BR,78.49,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
137,Vaikam,IN,78.06,9.7667,76.4,Kalathil Lake Resort
142,Calabozo,VE,88.0,8.9242,-67.4293,Hotel Giardini
143,Atar,MR,80.65,20.5169,-13.0499,Oumou Elghoura
145,Arraial Do Cabo,BR,84.16,-22.9661,-42.0278,Pousada Porto Praia
147,Mokolo,CM,77.99,10.7398,13.8019,Diwa Hôtel
148,Cockburn Town,TC,82.99,21.4612,-71.1419,Osprey Beach Hotel
156,Alto Araguaia,BR,80.87,-17.3147,-53.2153,Araguaia Palace Hotel
158,Sao Filipe,CV,77.59,14.8961,-24.4956,Hotel Xaguate
159,Camocim,BR,86.9,-2.9022,-40.8411,Ilha Praia Hotel
164,Praia,CV,82.94,14.9215,-23.5087,LT Aparthotel
165,Riyadh,SA,82.54,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
168,Oriximina,BR,89.17,-1.7656,-55.8661,Pousada Tia Amélia
171,Sassandra,CI,76.12,4.95,-6.0833,la terrasse
181,Bengkulu,ID,75.4,-3.8004,102.2655,Grage Hotel Bengkulu
182,Port-Gentil,GA,78.96,-0.7193,8.7815,Fengshui Residence
183,Padang,ID,76.14,-0.9492,100.3543,Mercure Padang
185,Hobyo,SO,79.41,5.3505,48.5268,Halane Hotel and Restaurent
194,Inirida,CO,79.72,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
195,Kalmunai,LK,78.04,7.4167,81.8167,VS Villa
199,Olinda,BR,82.13,-8.0089,-34.8553,Flat Quatro Rodas Olinda
202,Bubaque,GW,82.22,11.2833,-15.8333,"Casa Dora, Bubaque"
203,Buraydah,SA,77.45,26.326,43.975,Mövenpick Qassim
204,Himatnagar,IN,77.41,23.6,72.95,Hotel Sunrise Grand
211,Pizarro,CO,75.79,4.9533,-77.366,Hotel Limonar
213,Nkhotakota,MW,79.72,-12.9274,34.2961,Sitima Inn
215,Shadegan,IR,80.55,30.6497,48.6647,مسافر خانه ابو ولید
218,Dingle,PH,76.64,10.9995,122.6711,SEGAYA PROPERTY
220,Anloga,GH,80.74,5.7947,0.8973,Pin Drop Hotel
222,Paulista,BR,82.26,-7.9408,-34.8731,Hotel Chanceller
226,Felipe Carrillo Puerto,MX,82.51,19.5833,-88.05,Hotel La Ceiba
228,Bandarbeyla,SO,78.21,9.4942,50.8122,JABIR HOTEL
231,Mana,GF,84.07,5.6592,-53.7767,LE SAMANA
232,Port Blair,IN,80.6,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
233,Mandera,KE,87.48,3.9366,41.867,Red Sea Resort & Suites Mandera County
235,Maceio,BR,83.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
243,Mangrol,IN,81.01,21.1167,70.1167,Hotel The Royal Honours
244,Doha,QA,87.69,25.2867,51.5333,Mövenpick Doha
247,Humberto De Campos,BR,86.52,-2.5983,-43.4611,Pousada do Cabeça
250,Caravelas,BR,78.66,-17.7125,-39.2481,Pousada dos Navegantes
252,Oranjestad,AW,86.92,12.524,-70.027,Divi Village Golf & Beach Resort
258,Kudahuvadhoo,MV,81.77,2.6708,72.8944,Niyama Private Islands Maldives
260,Joao Pinheiro,BR,85.98,-17.7425,-46.1725,Hotel Santos
262,Wukari,NG,78.89,7.85,9.7833,Elimtop
266,Abu Dhabi,AE,87.82,24.4667,54.3667,Beach Rotana
267,Nouadhibou,MR,76.98,20.931,-17.0347,El Medina
269,Reconquista,AR,76.93,-29.15,-59.65,Grand Hotel
277,San Francisco,US,81.84,37.7749,-122.4194,Edwardian Hotel
281,Bathsheba,BB,82.81,13.2167,-59.5167,Atlantis Hotel
285,Hambantota,LK,77.34,6.1241,81.1185,Bungalow 63
289,Presidencia Roque Saenz Pena,AR,81.28,-26.7852,-60.4388,Hotel Gualok
290,Samana,DO,85.55,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
292,Bani,DO,85.86,18.2833,-70.3333,Hospedaje Henriquez
294,Tibacuy,CO,83.88,4.3511,-72.4564,hospedaje las palmas
295,Lamin,GM,84.31,13.3522,-16.4339,Jerreh Camp Lodge
297,Sonipat,IN,75.2,28.9833,77.0167,Cozette Hotel Sonipat
304,Monrovia,LR,80.37,6.3005,-10.7969,Sunset Inn
307,Puerto Carreno,CO,89.58,6.189,-67.4859,Casa Hotel Victoria
311,Sechura,PE,75.09,-5.5569,-80.8222,Hospedaje Costa Bella
313,Cobija,BO,86.18,-11.0267,-68.7692,Hotel Obelisco
316,Oussouye,SN,86.18,12.485,-16.5469,Auberge du Routard
321,Pasni,PK,81.01,25.2631,63.471,Kashmiri Hotal
323,Dangriga,BZ,80.98,16.9692,-88.2321,Chaleanor Hotel
324,Dibulla,CO,86.45,11.2725,-73.3091,Hospedaje Dibulla Beach
328,Cartagena,CO,85.62,10.3997,-75.5144,Hotel Colombia Real - Cartagena
339,George Town,MY,82.89,5.4112,100.3354,Cititel Penang
351,Ler,SS,76.6,8.3018,30.1418,Leer Humanitarian Hub
357,Natal,BR,82.62,-5.795,-35.2094,Villa Park Hotel | Natal
